title,balance,category,price
Hulegeb Yeamaregna Quwanquwa Memaria G7-10,0,MGT,1650
Amaregna Text G12,0,HIS,110
Yesine Qal Memeria,0,MGT,1485
Yeamaregna Mokeshe Hoheyat,0,Ban,440
Kuraz Amaregna G7-8,0,MGT,585
Zemenawi Yamaregna Quwanqa Mastemaria Zede,0,MGT,885
Betemariwoch Yebet Sera Yememhiranina Yewelajoch Mina,19,BIO,75
Tegbarawi Yetsihfet Memaria,0,EDU,62
Bahire Hsab,0,CHE,79
Zikre yeneta,2,BIO,76.7
Yeamaregna Quanquwa Temehirt Memeriya g5-8,0,COM,585
Besine-Tsihuf Quwanqan Mastemaria,0,FIC,80
Comet Amaregna G7-8,0,ECO,1485
Mega Yeamaregna Sewasew Agaz G5-6,1,LAW,750
Zemenawi Yeamaregna Sewasew Beqelal Aqerareb,0,PSY,675
Top Amaregna Timihirt Agaz G7-10,81,POL,110
Yequwanquwa,0,FIC,101.2
Yeamaregna Sewasew Agaz Metsehaf G 1-2,0,AMH,47
Key Yeamargna Quwanq Timihirt Agaz Metsehaf G 7-10,0,HIS,116
Comet Amaregna G 9-10,49,CIV,80
Yequwanqa Meseretawiyan,0,PHY,85
Comet Qedme College Amaregna G11-12,48,ENG,585
Top Ateqalay Yamaregna Timihirt Agaz g 4-6,0,GEO,60
Essential Yamaregna Quwanquwa G5-6,0,HIS,80
Essential Yamaregna G 7-8,0,ENI,130.8
Essential Amharic G1-2,0,MAT,75
smart Yamaregna Quwanquwa Memaria G1-4,0,HIS,128
Hulgeb Yamaregna Quwanquwa Memaria Agaz G1-4,0,HIS,110
Ysineqalina Sinetsihuh Memaria G7-10,0,PHY,95
Yamaregna Sewasew 3gna Etim --pf. Baye Yimam,0,EDU,120
Amaregna Sewasew ena Sinetsihuf - Yenos Muhammed,0,GEO,68.35
Mistre Fidel Wtirguwamehu-1gna Metsehaf --Kahsay,0,HIS,50
Misaleyawi Anegager Sine Fichiyawi Faydana Andimta -2nd Weynshet Beyene,0,EDU,120
Ytsihfet Fana - Lulsegged (Dr.),47,AMH,35
Smart Yamaregna Quwanquwa Memaria G5-8 Alamerew G/Mariam (Dr.),10,CHE,69
Extreme Amaregna G5-8,0,CHE,60
Ha Geez Yetalaqwa Ethiopia Yelijoch Yamaregna Fidel Melemameja,2,MAT,65
Ysine-Qal ena Sine-Tsihuf Memaria Agaz Metsehaf G7-10,0,ENG,40
Mega Yamarigna Swasew Agaz Metsehaf G9-10,0,HIS,144
Worldwide Amharic G5-8,0,PHY,65
Yamaregna Merja Metsehaf G 7-8 -Debebe H/Giorgis,112,BIO,68
Extreme Amaregna G9-10,0,BIO,152.4
Yeamharegna Yefidel Memariya........hashim Ebrahim,0,HIS,150
Yamaregna Sewasew Beqelal Aqerareb -2nd edi. Getahun Amare,0,ENG,55
Mega Yamaregna Sewasew Grade 3-4 -Mengistu Tadesse,0,LAN,67.2
Yamaregna Sewasew Landegna Dereja -Getahun Amare,22,EDU,178
Quwanquwana Sinelisan Megbiya -Getachew Endalemaw,0,BUS,100
Werefa,0,CHI,40
Yemusad Mistir,0,CHI,25
Ateqalay Yetimihirt Sera Lay Merimir Ategebaber,0,CHI,40
Yemist Yaleh,0,LAW,350
Tess,0,SOI,100
Yemeles Wirsoch,0,CHI,30
Sedekshin,0,COM,1050
yehe Hulu Lemen,0,POL,150
Lalibela The Four Architectural Chefs-Doeuvre,0,BUS,35.45
Making - EiABC protoLAB,46,FIC,46
Modern Plant Pathology,0,PSY,39.45
YeAbugedey Girigre,0,POE,14
YeTibebat Gubaae,0,PSY,40
YeFilm Tsehuf Atsatsaf,0,CHI,50
Yefilm Tebeb Qignit -Wesenyeleh Tilahun,9,BIG,250
Art Across Time,0,POL,105
Mestregnaw Baleqene,0,CHI,20
Zerihun Ytemgeta Zemenay Seali - Eseye G/Medhin(AAUP),8,PSY,39.45
The Teshome Habte Gabriel Reader --AAUPress,32,FIC,100
Yethiopia Tiyatir ena Sine Tsihuf Tarik Qits1 -Dagne Abebe,4,GEN,45.6
"YeEthiopia Tiyater, Lidet-Edget - Dagne Abebe",33,POE,49
Yalem Mirt Tewinet,0,CHI,20
Oxford School Atlas 33rd Edition,0,ORM,30
Pearson Secondary Atlas,9,FIC,160
National Atlas of Ethiopia - EMA,6,AGR,910
Metsehafe Tizita Zealeka Lemma H/W/Tarik -AAUPress,0,TUO,300
Hadise Alemayehu Be Hayasiyan Eyeta,0,TUO,300
Keriseti Berawen,0,TUO,300
OtobaYugraphy,0,TUO,300
Jegna Ende Tewodros Qorat Ende Petros,1,MAT,180
Negadiress G/Hiwot Baykedagn - AAUPress,0,DIC,120
Tilahun Gessesse Yehiwot Tarikina MIstir,0,ENI,292
Yeaklilu Mastawesha,0,ENI,243
Yehiwote Tarik-Tekle Tsadiq Mekuria,0,ENG,647
Qoftanaw Wetader Letena General Kebede Gebre,7,TUO,160
Bealu Girma Hiwetuna Sirawochu --Endale Geta,0,MAT,1485
Yazazh Hkim Werqineh Eshetu Yhiwot Tarik,0,CHE,60
Ytiwlid Adera,0,COM,1190
Ethiopiayawiw Surafi -Diyaqon Daniel Kibret,0,TUO,23
test1,0,TUO,150
Liqu Aleqa G/Hana,0,MAT,75
Tarik Agerna Hige Mengist -Dr.Negaso Gidada,15,MAT,75
Ethiopiawi Hageru Yet New? - Eskedar Girmay,19,MAT,60
Banking and Finance: Theory Law & Practice,0,Used Book,500
Modern Banking-Theory & Practice -2nd Muraleedharan,21,AGR,720
Money & Banking-Nadar,0,ENG,445
Core Banking Solution Evaluation of Security and Controls -2E - Sriram,21,LAW,250
Principles & Systems of Banking -Popli/Jain,39,HIS,300
Keweled Netsa Bankina Insurance -Mohammed Mebrat Indris,15,LAW,600
"BANKING AND FINANCE: THEORY, LAW & PRACTICE GOMEZ",5,HIS,1850
"ELEMENTS OF BANKING AND INSURANCE, 2/E SETHI/BHATIA",3,POL,75
Yalmekene Maninet,0,CHE,48
Belandsekep Arekiteket Yemejemeriayaw Ethiopiawi,0,ENG,60
Egnana Abeyutu,0,CHE,285
Ketigray Berehawoch Eske America Ketemawoch,64,PSY,60.7
Lehager Yetemedebe Heywot,143,ENG,1820
Poulos Gnogno,0,ENG,2120
Ametsegnaw Kilis,0,ENG,180
YeDerasiw Yehiwot Tarikena Yewedefit Raiy,27,ENG,80
Kurfia Yeshefenew Fegegta,0,BIG,300
Retina Mar,0,BIO,125
Yengineer Tadesse Betul Kibret Yhiwot Tarik,0,SUB,65
Yalefkubet -Fisiha Asfaw(Dr.),0,EDU,25
Becoming Michelle Obama,17,GEN,75
Ymayiseberew Ermias Amelga - Anteneh Yigzaw,3,ENI,54
Kebachuma eske Verjinia -Asefa Adefris,3,ENI,426
Yethiopia Derasiyan ena Sirawochachew K.1 -Getachew Abebe,13,ENI,5
Eregnaw Hakim - Mitiku Belachew,0,MED,1350
Dagnaw Manew -Tadelech H/Micheal,0,ENI,547
Bemeret Lay Atihid -G/Egziabiher Asen,34,ENI,770
Shemaqiw Komando -B/General Tefera Mamo,0,URB,2060
A Promised Land - Barack Obama,8,LAW,1400
Yhiwote Sinkisar Kkebt Eregninet Eske Akababi Tibeqa Tmuwagachinet - Dr. Mengistu Wibe,12,FIC,90
"Joe Biden Promise Me, Dad",16,LAW,38.8
Growing Into Ethiopia & Its Melodies: Ali Birra -Surafel Gelgelo,2,LAW,31
"Ymisraku Warka Musiqa,Yhager Fikir,Rasin Filega - Surafel Gelgelo",0,SOI,31
"Odaa Bahaa Muuziiqaa,Jaalala-Biyaa,Of- Barbaacha: Afaan Alii Birratin -Suraafeel Galgaloo",5,LAW,46.6
Kemaychew eske Ogaden -Tr. Michael Shiferaw,0,LAW,54.5
3000 Lelitoch -Andualem Arage,1,POL,50
YeWib Dinber - Yewibdinber Negash,23,HIS,81.5
Modern Biology G11-12,0,CHI,50
Top Biology G 11-12,0,GEN,42
Royal Biology G11-12,0,CHI,150
Extreme Biology G11-12,2,CHI,25
Kuraz Biology G 11-12,0,CHI,20
Galaxy Biology G11-12,0,CHI,20
Nexus Biology G9-10,3,CHI,20
Modern Biology G 9-10,0,FIC,30
Kuraz Biology G 9-10,0,CHI,30
High School Biology G 9-10,158,FIC,22
Royal Biology G 9-10,0,POE,20
Extreme Biology G 9-10,57,POL,10
Solar Biology G 9-10,22,FIC,70
Extreme Biology G 7-8,2,HIS,85
Top Biology G 7-8,0,HIS,250
Modern Biology G 7-8,28,PSY,1500
Vital Dictionary of Biology G7-12,42,POE,10
Reward Dictionary of Biology,0,POE,30
Royal Biology G 7-8,3,MAT,2130
Nexus Biology G7-8 Bitew Mulalem,122,CHI,17
The new Guide To modern Biology G7-8,0,ENG,35
The New Systematic Book Series Biology G7-8,0,ACC,78
Source Book For high School Biology Volume 3,0,ACC,225
Alpha Problem Solver Series Biology G9-10,0,ACC,430
The Mammals of Ethiopia & Eriteria,1,STO,25
Royal Baayloojii Kutaa 7 fi 8,0,CHI,20
Ibssaa Baayoloojii Kutta 7 fi 8,0,REL,170
Atebiwoch,0,REL,110
The new Systematic Book Series BaayoloojiiK7-8,0,REL,81
Integrated Biology G9-10,0,map,200
A Selection Of Ethiopia s Indegenius Trees,0,MAT,56
Edible Wild Plants in Ethiopia,5,CHI,15
Bale Akerkariwoch,0,MAT,48
Galaxy Biology G9-10,0,DIC,675
New Generation Biology G9-10,0,GEN,96.2
The New Guide Biology G11-12,0,AMH,89
Wild Flowers of Ethiopia,2,AMH,69
Wild Flowers of Ethiopia Pocket,7,AMH,45
Yeethiopia Mekaklgnaw Semet Sheleqo Wefoch,0,AMH,60
Andand Yeethiopia Birabirowoch,7,CIV,55
Beethiopia Yemigegnu WanaWana Zafoch,0,POL,120
Yeetsiwat Metsehaf,0,LAW,980
Top Biology G9-10,0,MGT,1485
Basic Physiology - Sreekumar,24,EDU,1275
Biochemical Engineering: Principles & Concepts,0,HIS,47
"Biodiversity Perception, Peril & Preservation - 2E - Maiti, Maiti",18,SOC,190
Fundamentals of Cytogenetics and Genetics -Ram,37,ACC,744
Invertebrate Zoology,0,ACC,1275
